canonical_key,artist,track,old_watch_url,old_video_id,new_watch_url,new_video_id,status,resolver_reason
sp:7mkT9kS25nUIoNkm02Ww0n,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",https://www.youtube.com/watch?v=pjTj-_55WZ8,pjTj-_55WZ8,https://www.youtube.com/watch?v=pjTj-_55WZ8,pjTj-_55WZ8,unplayable_resolver_returned_unplayable,"cache hit: Rudimental - These Days (feat. Jess Glynne, Macklemore & Dan Caplen) [Official Video] | Rudimental | views=542,409,680"
sp:30U858jspmM5gcFlCGm3Ar,Willy William,"Mambo (feat. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz)",https://www.youtube.com/watch?v=wEX7OjfgOsg,wEX7OjfgOsg,https://www.youtube.com/watch?v=57NZRQhMpLA,57NZRQhMpLA,unplayable_replaced_by_resolver,"cache hit: Steve Aoki & Willy William - Mambo feat. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz | Infinite Sean Paul | views=1,464"
sp:0mGcsaIOK2wL7ECV3BN5XD,CKay,"WATAWI (feat. Davido, Focalistic & Abidoza)",https://www.youtube.com/watch?v=LXbPRyvGBYM,LXbPRyvGBYM,https://www.youtube.com/watch?v=LXbPRyvGBYM,LXbPRyvGBYM,kept_direct_playable,
sp:2hrUO4drrO63i7FYbCLBl2,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),https://www.youtube.com/watch?v=papuvlVeZg8,papuvlVeZg8,https://www.youtube.com/watch?v=papuvlVeZg8,papuvlVeZg8,unplayable_resolver_returned_unplayable,"cache hit: Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video] | Clean Bandit | views=3,162,475,214"
sp:0FZ4Dmg8jJJAPJnvBIzD9z,Kodak Black,ZEZE (feat. Travis Scott & Offset),https://www.youtube.com/watch?v=EfHNIPXTxy0,EfHNIPXTxy0,https://www.youtube.com/watch?v=EfHNIPXTxy0,EfHNIPXTxy0,unplayable_resolver_returned_unplayable,"cache hit: Kodak Black - ZEZE (feat. Travis Scott & Offset) [Official Music Video] | Kodak Black | views=109,771,087"
sp:1dg3qy5DjoJodawfOCgrTP,Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),https://www.youtube.com/watch?v=ML-iBsCUDg8,ML-iBsCUDg8,https://www.youtube.com/watch?v=ML-iBsCUDg8,ML-iBsCUDg8,unplayable_resolver_returned_unplayable,"cache hit: Lil Tjay - Run It Up (Feat. Offset & Moneybagg Yo) [Official Video] | Lil Tjay | views=60,430,759"
sp:4QPEwDdOMhY7rNS05mTyMR,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),https://www.youtube.com/watch?v=eYwbGaSurCQ,eYwbGaSurCQ,https://www.youtube.com/watch?v=eYwbGaSurCQ,eYwbGaSurCQ,unplayable_resolver_returned_unplayable,"cache hit: STORMZY - OWN IT (feat. ED SHEERAN & BURNA BOY) | Stormzy | views=126,045,794"
sp:2FWquqPNxte8iqZ3ATQG0p,Jay Park,All I Wanna Do (K) (Feat. Hoody & Loco),https://www.youtube.com/watch?v=lT7Q93fy1us,lT7Q93fy1us,https://www.youtube.com/watch?v=lT7Q93fy1us,lT7Q93fy1us,kept_direct_playable,
sp:0UaMYEvWZi0ZqiDOoHU3YI,Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),https://www.youtube.com/watch?v=na7lIb09898,na7lIb09898,https://www.youtube.com/watch?v=na7lIb09898,na7lIb09898,unplayable_resolver_returned_unplayable,"cache hit: Missy Elliott - Lose Control (feat. Ciara & Fat Man Scoop) [Official Music Video] | Missy Elliott | views=108,479,572"
sp:0wokdbjRBEVknN1c6FBf9S,Elevation Worship,LION (feat. Chris Brown & Brandon Lake),https://www.youtube.com/watch?v=2go_dOJVwc4,2go_dOJVwc4,https://www.youtube.com/watch?v=2go_dOJVwc4,2go_dOJVwc4,kept_direct_playable,
sp:50DMJJpAeQv4fIpxZvQz2e,All Time Low,Monsters (feat. Demi Lovato and blackbear),https://www.youtube.com/watch?v=NlnwXIigAAs,NlnwXIigAAs,https://www.youtube.com/watch?v=NlnwXIigAAs,NlnwXIigAAs,kept_direct_playable,
sp:3xGD5KhnizETt7KQwxtUAc,Gemitaiz,Senza Di Me (feat. Venerus & Franco126),https://www.youtube.com/watch?v=P2bNdwdvnaw,P2bNdwdvnaw,https://www.youtube.com/watch?v=P2bNdwdvnaw,P2bNdwdvnaw,kept_direct_playable,
sp:1boHm9rjmvzxpJASd9dnGK,Twista,Slow Jamz (feat. Kanye West & Jamie Foxx),https://www.youtube.com/watch?v=jI-w4gvkCkQ,jI-w4gvkCkQ,https://www.youtube.com/watch?v=raWSH1KrgFI,raWSH1KrgFI,unplayable_resolver_returned_unplayable,reranked resolver candidate: Slow Jamz | TWISTA
sp:4lxTmHPgoRWwM9QisWobJL,Latto,FTCU (feat. GloRilla & Gangsta Boo),https://www.youtube.com/watch?v=mkHQDPch6fo,mkHQDPch6fo,https://www.youtube.com/watch?v=mkHQDPch6fo,mkHQDPch6fo,unplayable_resolver_returned_unplayable,"cache hit: Latto - FTCU (Official Video) ft. GloRilla, Gangsta Boo | Latto | views=6,049,568"
sp:6Dy1jexKYriXAVG6evyUTJ,Jax Jones,OUT OUT (feat. Charli XCX & Saweetie),https://www.youtube.com/watch?v=zqyEwjFid0c,zqyEwjFid0c,https://www.youtube.com/watch?v=Yk7u5yHth_c,Yk7u5yHth_c,unplayable_replaced_by_resolver,"cache hit: Joel Corry x Jax Jones - OUT OUT (feat. Charli XCX & Saweetie) [Official Video] | Joel Corry | views=8,928,980"
sp:4lqEFIB9YZl8BwR99L5H3b,Mustard,In My Room (feat. Ty Dolla $ign & Tyga),https://www.youtube.com/watch?v=3G32BQ3JJ1c,3G32BQ3JJ1c,https://www.youtube.com/watch?v=3G32BQ3JJ1c,3G32BQ3JJ1c,kept_direct_playable,
sp:4UTJRQlIDvePxa6deMMk4j,Kirk Franklin,Kingdom (feat. Naomi Raine & Chandler Moore),https://www.youtube.com/watch?v=13PYVofBFRc,13PYVofBFRc,https://www.youtube.com/watch?v=13PYVofBFRc,13PYVofBFRc,kept_direct_playable,
sp:27g5G3TW90FSm3YxclYpAs,Popcaan,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),https://www.youtube.com/watch?v=5N8YRren5Z4,5N8YRren5Z4,https://www.youtube.com/watch?v=5N8YRren5Z4,5N8YRren5Z4,kept_direct_playable,
sp:2WWfjbHALIb3e7FMcj9mr4,ODESZA,Line Of Sight (feat. WYNNE & Mansionair),https://www.youtube.com/watch?v=8ayH60ET4U0,8ayH60ET4U0,https://www.youtube.com/watch?v=8ayH60ET4U0,8ayH60ET4U0,kept_direct_playable,
sp:5OkYfk72CNL8XLqa3gp9q7,Freddie Gibbs,"Something to Rap About (feat. Tyler, The Creator)",https://www.youtube.com/watch?v=POw27Wug4wo,POw27Wug4wo,https://www.youtube.com/watch?v=POw27Wug4wo,POw27Wug4wo,kept_direct_playable,
sp:4t9q80lwmctzfRsJDLQAHg,Kirk Franklin,Fear is Not My Future (feat. Brandon Lake & Chandler Moore),https://www.youtube.com/watch?v=ulFGXnASE4Q,ulFGXnASE4Q,https://www.youtube.com/watch?v=ulFGXnASE4Q,ulFGXnASE4Q,unplayable_resolver_returned_unplayable,"cache hit: Fear is Not My Future (feat. Brandon Lake & Chandler Moore) | Maverick City Music x Kirk Franklin | TRIBL and Kirk Franklin | views=4,619,432"
sp:6OuY2Mj8h5W85TVf96Uyl7,Tom Morello,Can't Stop The Bleeding (feat. Gary Clark Jr. & Gramatik),https://www.youtube.com/watch?v=MVPhocHKRm8,MVPhocHKRm8,https://www.youtube.com/watch?v=MVPhocHKRm8,MVPhocHKRm8,kept_direct_playable,
sp:2LxdNADWier3MKTei8FbOY,Oliver Heldens,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),https://www.youtube.com/watch?v=UIA3UhwTYUc,UIA3UhwTYUc,https://www.youtube.com/watch?v=UIA3UhwTYUc,UIA3UhwTYUc,kept_direct_playable,
sp:0KoiMHhqKLoL4xM54rcWYY,DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",https://www.youtube.com/watch?v=ixkoVwKQaJg,ixkoVwKQaJg,,,unplayable_no_resolver_match,"cache hit: search request failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
sp:1jYiIOC5d6soxkJP81fxq2,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",https://www.youtube.com/watch?v=weeI1G46q0o,weeI1G46q0o,,,unplayable_no_resolver_match,"cache hit: search request failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
sp:4QNpBfC0zvjKqPJcyqBy9W,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",https://www.youtube.com/watch?v=EPo5wWmKEaI,EPo5wWmKEaI,,,unplayable_no_resolver_match,"cache hit: search request failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
sp:4COGASZEbAxmH6k5gYMo6G,Jon Z,"0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]",https://www.youtube.com/watch?v=VEDwgvdXUF4,VEDwgvdXUF4,https://www.youtube.com/watch?v=VEDwgvdXUF4,VEDwgvdXUF4,kept_direct_playable,
